origin,timestamp,on_tour,code
SEP0001,01/24/2014 05:36:14,,SEP
SEP0002,01/24/2014 05:36:23,,W/IGO KST JFE
SEP0003,01/24/2014 05:36:24,,AA
SEP0004,01/24/2014 05:36:28,,CL TWIRLY
SEP0005,01/24/2014 05:36:44,,C WINSLOW HOMER DAY!
SEP0006,01/24/2014 05:36:44,,AES
IGO0001,01/24/2014 05:43:43,,IGO
IGO0002,01/24/2014 05:43:51,,W/KST JFE SEP
IGO0003,01/24/2014 05:43:53,,AA
IGO0004,01/24/2014 05:43:58,,CL TWIRLY FLAG
IGO0005,01/24/2014 05:44:03,,C MONOS WAKING
IGO0006,01/24/2014 05:44:04,,AVB
IGO0007,01/24/2014 05:48:21,,C MONOS MOVING AROUND
SEP0007,01/24/2014 05:57:22,,AVW
SEP0008,01/24/2014 05:57:25,,AVR
IGO0008,01/24/2014 06:01:26,,C MONOS LEAVING SLEEPSITE
IGO0009,01/24/2014 06:15:20,,PPV YFFLC
IGO0010,01/24/2014 06:16:12,,PON YVF
IGO0011,01/24/2014 06:18:28,,AVL2
IGO0012,01/24/2014 06:18:31,,AFSDQBR
IGO0013,01/24/2014 06:18:33,,PDQ YSF
IGO0014,01/24/2014 06:19:12,,AVL2
IGO0015,01/24/2014 06:19:55,,AVL2
IGO0016,01/24/2014 06:19:58,,PDG YFIBK
SEP0009,01/24/2014 06:20:22,,PWH YTT 3DA
IGO0017,01/24/2014 06:20:22,,PJP YTT
SEP0010,01/24/2014 06:20:26,,F:WH
SEP0011,01/24/2014 06:20:26,,YFFLC
SEP0012,01/24/2014 06:20:40,,XBBDP
IGO0018,01/24/2014 06:21:11,,AVL2
IGO0019,01/24/2014 06:21:13,,AVL1 R
SEP0013,01/24/2014 06:21:14,,HFLC BBD
SEP0014,01/24/2014 06:21:16,,RLBDP
SEP0015,01/24/2014 06:21:25,,RABFN
SEP0016,01/24/2014 06:21:26,,RAAFN
SEP0017,01/24/2014 06:21:28,,MPWFN
SEP0018,01/24/2014 06:21:31,,MPKFN
SEP0019,01/24/2014 06:21:56,,FLAFN
SEP0020,01/24/2014 06:22:11,,AAXKJ
IGO0020,01/24/2014 06:22:22,,AARKJ
SEP0021,01/24/2014 06:22:25,,HL
SEP0022,01/24/2014 06:22:33,,FLAFN
SEP0023,01/24/2014 06:22:35,,FLBFN
IGO0021,01/24/2014 06:22:40,,PDA YVF 3KJ
IGO0022,01/24/2014 06:22:43,,PKJ YSG 3DA
SEP0024,01/24/2014 06:22:52,,HFLC
SEP0025,01/24/2014 06:22:54,,YFFLC
IGO0023,01/24/2014 06:23:01,,AVL2
SEP0026,01/24/2014 06:23:08,,XCCDA
SEP0027,01/24/2014 06:23:10,,FABDA
SEP0028,01/24/2014 06:23:29,,FAADA
SEP0029,01/24/2014 06:23:35,,AVL2
SEP0030,01/24/2014 06:23:37,,FAADA
SEP0031,01/24/2014 06:23:39,x,FCIDA LC
SEP0032,01/24/2014 06:23:43,,FCTDA LC
SEP0033,01/24/2014 06:23:44,,RLADA
SEP0034,01/24/2014 06:23:55,,AARKJ
SEP0035,01/24/2014 06:23:56,,SAS
SEP0036,01/24/2014 06:23:59,,ASDKJDA
SEP0037,01/24/2014 06:24:00,,SAS
SEP0038,01/24/2014 06:24:10,,RABUB
SEP0039,01/24/2014 06:24:18,,FAAUB
SEP0040,01/24/2014 06:24:26,,RLAUB
SEP0041,01/24/2014 06:24:31,,FALDA
SEP0042,01/24/2014 06:24:37,,FFTDA
SEP0043,01/24/2014 06:24:39,,FINDA
SEP0044,01/24/2014 06:24:42,,RMMDA
SEP0045,01/24/2014 06:24:57,,RABFN
SEP0046,01/24/2014 06:24:58,,RMMFN
SEP0047,01/24/2014 06:25:12,,RLBLN
SEP0048,01/24/2014 06:25:19,,RGNDA
SEP0049,01/24/2014 06:25:22,,YSI
SEP0050,01/24/2014 06:25:26,,XNFDA
SEP0051,01/24/2014 06:25:28,,XBBUB
SEP0052,01/24/2014 06:25:34,,FISDA
SEP0053,01/24/2014 06:25:34,,SAS
SEP0054,01/24/2014 06:25:36,,RMODA
SEP0055,01/24/2014 06:25:45,,XCCKJ
SEP0056,01/24/2014 06:25:51,,SPK
SEP0057,01/24/2014 06:25:54,,AVFDA FAV
SEP0058,01/24/2014 06:26:01,,RAAUB
SEP0059,01/24/2014 06:26:02,,RLADA
SEP0060,01/24/2014 06:26:06,,FLAUB
SEP0061,01/24/2014 06:26:19,,RAAUB
SEP0062,01/24/2014 06:26:21,,FLAUB
SEP0063,01/24/2014 06:26:22,,RLBDA
SEP0064,01/24/2014 06:26:24,,FLBUB
SEP0065,01/24/2014 06:26:25,,FABDA
SEP0066,01/24/2014 06:26:29,,FAVUB
SEP0067,01/24/2014 06:26:31,,RABUB
SEP0068,01/24/2014 06:26:42,,FAVUB
SEP0069,01/24/2014 06:26:44,,RFTUB
SEP0070,01/24/2014 06:26:45,,RAAUB
SEP0071,01/24/2014 06:26:48,,FLAUB
SEP0072,01/24/2014 06:26:55,,HS D
SEP0073,01/24/2014 06:26:57,,RAAUB
SEP0074,01/24/2014 06:26:58,,RLBDA
SEP0075,01/24/2014 06:27:03,,RFSUB
SEP0076,01/24/2014 06:27:11,,RIUUB
SEP0077,01/24/2014 06:27:12,,FLAUB
SEP0078,01/24/2014 06:27:13,,FABDA
SEP0079,01/24/2014 06:27:16,,FAADA
SEP0080,01/24/2014 06:27:18,,LADA
SEP0081,01/24/2014 06:27:23,,MLBUB
SEP0082,01/24/2014 06:27:24,,RLBDA
SEP0083,01/24/2014 06:27:40,,HB
SEP0084,01/24/2014 06:27:42,,FVTDA
SEP0085,01/24/2014 06:27:42,,FVTDA
SEP0086,01/24/2014 06:27:43,,FABDA
SEP0087,01/24/2014 06:27:44,,RLBDA
SEP0088,01/24/2014 06:27:57,,YTT
SEP0089,01/24/2014 06:28:07,,XCCDA
SEP0090,01/24/2014 06:28:14,,OVP
SEP0091,01/24/2014 06:28:15,,IVP
SEP0092,01/24/2014 06:28:30,,FABDA
SEP0093,01/24/2014 06:28:32,,FVT
SEP0094,01/24/2014 06:28:33,,FVT
SEP0095,01/24/2014 06:28:36,,MLBDA
SEP0096,01/24/2014 06:28:44,,FVTDA
SEP0097,01/24/2014 06:29:04,,STELC
SEP0098,01/24/2014 06:29:09,,HFLC D
SEP0099,01/24/2014 06:29:29,,HL BBB
SEP0100,01/24/2014 06:29:53,,HFLC BK
SEP0101,01/24/2014 06:29:53,,FABNC
SEP0102,01/24/2014 06:30:12,,HFLC F
SEP0103,01/24/2014 06:30:13,,SAS
SEP0104,01/24/2014 06:30:25,,YFFLC
SEP0105,01/24/2014 06:30:37,,XBBNC
SEP0106,01/24/2014 06:30:39,,SLELC
SEP0107,01/24/2014 06:30:43,,FLBNC
SEP0108,01/24/2014 06:31:12,,HL
SEP0109,01/24/2014 06:31:18,,STEBS
SEP0110,01/24/2014 06:31:42,,HS BBD
SEP0111,01/24/2014 06:31:47,,FAADA
SEP0112,01/24/2014 06:31:59,,SLEBS
SEP0113,01/24/2014 06:32:03,,RLBDA
SEP0114,01/24/2014 06:32:05,,FABDA
SEP0115,01/24/2014 06:32:22,,FLBDA
SEP0116,01/24/2014 06:32:42,,STEBS
